ART 390 Art of the Classical World|14
ART 391 Nineteenth-Century Art|14
ART 393 American Art|14
ART 394 The Modernist Impulse Art 1900-1950|14
ART 395 Pop to Postmodern Art|14
ART 397 Art in Recreation Beyond Arts and Crafts|14
ART 398 Junior Design Studio|14
ART 399 Selected Topics in Art|14
ART 432 Senior Design Studio|14
ART 435 Professional Development Seminar/Fine Art|14
ART 436 Professional Development Seminar/Graphic Design|14
ART 437 Fine Art Seminar|14
ART 440 Senior Portfolio and Exhibition (Fine Art)|14
ART 441 Senior Portfolio and Exhibition (Graphic Design)|14
ART 450 Art Internship|14
ART 451 Art Internship|14
ART 498 Independent Study|14
ART 499 Independent Study|14
MUS 001 Recital Attendance|15
MUS 002 Recital Attendance|15
MUS 003 Recital Attendance|15
MUS 004 Recital Attendance|15
MUS 005 Recital Attendance|15
MUS 006 Recital Attendance|15
MUS 007 Recital Attendance|15
MUS 008 Recital Attendance|15
MUS 101 Voice|15
MUS 102 Voice|15
MUS 103 Piano|15
MUS 104 Piano|15
MUS 105 Organ|15
MUS 106 Organ|15
MUS 107 Harpsichord|15
MUS 108 Violin|15
MUS 109 Violin|15
MUS 110 Viola|15
MUS 111 Viola|15
MUS 112 Cello|15
MUS 113 Cello|15
MUS 114 Double Bass|15
MUS 115 Double Bass|15
MUS 116 Trumpet|15
MUS 117 Trumpet|15
MUS 118 French Horn|15
MUS 119 French Horn|15
MUS 120 Trombone|15
MUS 121 Trombone|15
MUS 122 Baritone|15
MUS 123 Baritone|15
MUS 124 Tuba|15
MUS 125 Tuba|15
MUS 126 Flute|15
MUS 127 Flute|15
MUS 128 Clarinet|15
MUS 129 Clarinet|15
MUS 130 Saxophone|15
MUS 131 Saxophone|15
MUS 132 Oboe|15
MUS 133 Oboe|15
MUS 134 Bassoon|15
MUS 135 Bassoon|15
MUS 136 Percussion|15
MUS 137 Percussion|15
MUS 138 Guitar|15
MUS 139 Guitar|15
MUS 142 Improvisation|15
MUS 143 Improvisation|15
MUS 201 Voice|15
MUS 202 Voice|15
MUS 203 Piano|15
MUS 204 Piano|15
MUS 205 Organ|15
MUS 206 Organ|15
MUS 207 Harpsichord|15
MUS 208 Violin|15
MUS 209 Violin|15
MUS 210 Viola|15
MUS 211 Viola|15
MUS 212 Cello|15
MUS 213 Cello|15
MUS 214 Double Bass|15
MUS 215 Double Bass|15
MUS 216 Trumpet|15
MUS 217 Trumpet|15
MUS 218 French Horn|15
MUS 219 French Horn|15
MUS 220 Trombone|15
MUS 221 Trombone|15
MUS 222 Baritone|15
MUS 223 Baritone|15
MUS 224 Tuba|15
MUS 225 Tuba|15
MUS 226 Flute|15
MUS 227 Flute|15
MUS 228 Clarinet|15
MUS 229 Clarinet|15
MUS 230 Saxophone|15
MUS 231 Saxophone|15
MUS 232 Oboe|15
MUS 233 Oboe|15
MUS 234 Bassoon|15
MUS 235 Bassoon|15
MUS 236 Percussion|15
MUS 237 Percussion|15
MUS 238 Guitar|15
MUS 239 Guitar|15
MUS 242 Improvisation|15
MUS 243 Improvisation|15
MUS 301 Voice|15
MUS 302 Voice|15
MUS 303 Piano|15
MUS 304 Piano|15
MUS 305 Organ|15
MUS 306 Organ|15
MUS 307 Harpsichord|15
MUS 308 Violin|15
MUS 309 Violin|15
MUS 310 Viola|15
MUS 311 Viola|15
MUS 312 Cello|15
MUS 313 Cello|15
MUS 314 Double Bass|15
MUS 315 Double Bass|15
MUS 316 Trumpet|15
MUS 317 Trumpet|15
MUS 318 French Horn|15
MUS 319 French Horn|15
MUS 320 Trombone|15
MUS 321 Trombone|15
MUS 322 Baritone|15
MUS 323 Baritone|15
MUS 324 Tuba|15
MUS 325 Tuba|15
MUS 326 Flute|15
MUS 327 Flute|15
MUS 328 Clarinet|15
MUS 329 Clarinet|15
MUS 330 Saxophone|15
MUS 331 Saxophone|15
MUS 332 Oboe|15
MUS 333 Oboe|15
MUS 334 Bassoon|15
MUS 335 Bassoon|15
